Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,02/21/2025,"ORIG CO NAME:KEY MERCHANT SVS CO ENTRY DESCR:DISCOUNT   SEC:CCD IND ID:896246463880    ORIG ID:2580215200",-2.20,ACH_DEBIT, ,,
DEBIT,02/21/2025,"Online Payment To  NR Rent 02/21",-978.00,BILLPAY, ,,
CREDIT,02/21/2025,"ORIG CO NAME:EASYPAY          CO ENTRY DESCR:MRCHNTSRVS SEC:CCD IND ID:896246463880    ORIG ID:1340797057",25.00,ACH_CREDIT, ,,
CREDIT,02/21/2025,"ORIG CO NAME:STRIPE           CO ENTRY DESCR:TRANSFER   SEC:CCD IND ID:ST-F5K1S3Y1A8N9 ORIG ID:1800948598",658.77,ACH_CREDIT, ,,
DEBIT,02/20/2025,"ORIG CO NAME:KEY MERCHANT SVS       ORIG ID:2580215200 DESC DATE:250219 CO ENTRY DESCR:DISCOUNT  SEC:CCD    TRACE#:041001037296362 EED:250220   IND ID:896246463880                 IND NAME:BOSTON PSYCHOLOGICAL T                                                                                       1-800-304-9856 TRN: 0517296362TC",-1.03,ACH_DEBIT,9063.70,,
CREDIT,02/20/2025,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000013178709 EED:250220   IND ID:ST-X4C5G6R5N0E0              IND NAME:BOODAH INC TRN: 0513178709TC",487.57,ACH_CREDIT,9064.73,,
CREDIT,02/20/2025,"ORIG CO NAME:EASYPAY                ORIG ID:1340797057 DESC DATE:250219 CO ENTRY DESCR:MRCHNTSRVSSEC:CCD    TRACE#:041001033588120 EED:250220   IND ID:896246463880                 IND NAME:BOODAH INC TRN: 0513588120TC",1419.19,ACH_CREDIT,8577.16,,
DEBIT,02/19/2025,"ORIG CO NAME:PAYPAL                 ORIG ID:PAYPALSI77 DESC DATE:250219 CO ENTRY DESCR:INST XFER SEC:WEB    TRACE#:021000022671304 EED:250219   IND ID:PLAYSTATION                  IND NAME:BOODAH, INC                                                                                                  250219PPZM0D TRN: 0502671304TC",-49.59,MISC_DEBIT,7157.97,,
DEBIT,02/19/2025,"Zelle payment to Kathleen Crivello 23782485878",-477.50,QUICKPAY_DEBIT,7207.56,,
DEBIT,02/19/2025,"ORIG CO NAME:KEY MERCHANT SVS       ORIG ID:2580215200 DESC DATE:250218 CO ENTRY DESCR:DISCOUNT  SEC:CCD    TRACE#:041001035031067 EED:250219   IND ID:896246463880                 IND NAME:BOSTON PSYCHOLOGICAL T                                                                                       1-800-304-9856 TRN: 0505031067TC",-42.36,ACH_DEBIT,7685.06,,
CREDIT,02/19/2025,"ORIG CO NAME:MBHP Behav Z Val       ORIG ID:1043307857 DESC DATE:250214 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:111000022751822 EED:250219   IND ID:                             IND NAME:BOODAH INC                 TRN*1*0002191484*1541414194\ TRN: 0502751822TC",130.48,ACH_CREDIT,7727.42,,
CREDIT,02/19/2025,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000017310918 EED:250219   IND ID:ST-R1I0Q6I8D1Q6              IND NAME:BOODAH INC TRN: 0507310918TC",145.35,ACH_CREDIT,7596.94,,
CREDIT,02/19/2025,"ORIG CO NAME:EASYPAY                ORIG ID:1340797057 DESC DATE:250218 CO ENTRY DESCR:MRCHNTSRVSSEC:CCD    TRACE#:041001031859373 EED:250219   IND ID:896246463880                 IND NAME:BOODAH INC TRN: 0501859373TC",290.00,ACH_CREDIT,7451.59,,
DEBIT,02/18/2025,"ORIG CO NAME:KEY MERCHANT SVS       ORIG ID:2580215200 DESC DATE:250216 CO ENTRY DESCR:DISCOUNT  SEC:CCD    TRACE#:041001036107531 EED:250218   IND ID:896246463880                 IND NAME:BOSTON PSYCHOLOGICAL T                                                                                       1-800-304-9856 TRN: 0496107531TC",-4.37,ACH_DEBIT,7161.59,,
DEBIT,02/18/2025,"ORIG CO NAME:KEY MERCHANT SVS       ORIG ID:2580215200 DESC DATE:250215 CO ENTRY DESCR:DISCOUNT  SEC:CCD    TRACE#:041001036107526 EED:250218   IND ID:896246463880                 IND NAME:BOSTON PSYCHOLOGICAL T                                                                                       1-800-304-9856 TRN: 0496107526TC",-6.78,ACH_DEBIT,7165.96,,
DEBIT,02/18/2025,"ORIG CO NAME:KEY MERCHANT SVS       ORIG ID:2580215200 DESC DATE:250217 CO ENTRY DESCR:DISCOUNT  SEC:CCD    TRACE#:041001036107533 EED:250218   IND ID:896246463880                 IND NAME:BOSTON PSYCHOLOGICAL T                                                                                       1-800-304-9856 TRN: 0496107533TC",-9.31,ACH_DEBIT,7172.74,,
DEBIT,02/18/2025,"ORIG CO NAME:KEY MERCHANT SVS       ORIG ID:2580215200 DESC DATE:250214 CO ENTRY DESCR:DISCOUNT  SEC:CCD    TRACE#:041001036107529 EED:250218   IND ID:896246463880                 IND NAME:BOSTON PSYCHOLOGICAL T                                                                                       1-800-304-9856 TRN: 0496107529TC",-13.46,ACH_DEBIT,7182.05,,
DEBIT,02/18/2025,"ORIG CO NAME:CAPITAL ONE            ORIG ID:9541719318 DESC DATE:250217 CO ENTRY DESCR:CRCARDPMT SEC:CCD    TRACE#:056073610556289 EED:250218   IND ID:42U74WQS92FFCAO              IND NAME:COLLEEN GALLICCHIO TRN: 0490556289TC",-5000.00,ACH_DEBIT,7195.51,,
